annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2023/2024,True,8887,Ingegneria chimica e biochimica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8887,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8888,Ingegneria civile,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8888,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,libero
2023/2024,True,8890,Sviluppo e cooperazione internazionale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8890,Bologna,Bologna,"Scienze Statistiche, Scienze politiche",Laurea,3,False,,,it,numero chiuso
2023/2024,True,8891,Automation Engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8891,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,en,libero
2023/2024,True,8894,Ingegneria per l'ambiente e il territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8894,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,8895,Civil Engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8895,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera,en,libero
2023/2024,True,8896,Ingegneria chimica e di processo,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8896,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,8965,Business and Economics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8965,Bologna,Bologna,Economia e management,Laurea,3,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,9062,Legal Studies,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9062,Bologna,Bologna,Giurisprudenza,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,9063,Artificial Intelligence,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9063,Bologna,Bologna,"Ingegneria e architettura, Scienze",Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9064,Culture e pratiche della moda,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9064,Rimini,Rimini,Studi umanistici,Laurea,3,False,,,it,numero chiuso
2023/2024,True,9065,Ingegneria elettronica e telecomunicazioni,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9065,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,libero
2023/2024,True,9066,Ingegneria dell'energia elettrica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9066,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,9067,Fashion Studies,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9067,Rimini,Rimini,Studi umanistici,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9068,Pharmaceutical Biotechnology,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9068,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9069,Scienze e tecniche dell'attività sportiva,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9069,Bologna,Bologna,Scienze motorie,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,9070,"Filologia, letteratura e tradizione classica",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9070,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,9071,Arti visive,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9071,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera (solo alcuni curricula),it fr en,libero
2023/2024,True,9072,Chimica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9072,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,it,libero
